patch_size,family,operation,precision_variant,observations,exact_equal_count,divergent_count,mean_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,total_num_unequal,total_num_elements,exact_equal_rate,divergent_rate,global_unequal_element_rate
9.0,patch_reduction,patch_sum_d_9,fp32,18,0,18,0.5283725283725283,0.5283725283725283,1.9073486328125e-06,1.9073486328125e-06,0.004597725447089165,0.004608294930875576,1056744,1999998,0.0,1.0,0.5283725283725283
9.0,patch_reduction,patch_sum_fp64_mul_cd_9,fp64,18,0,18,9.000009000009e-06,9.000009000009e-06,2.220446049250313e-16,2.220446049250313e-16,3.6673706189257213e-16,3.6673706189257223e-16,18,1999998,0.0,1.0,9.000009000009e-06
9.0,patch_reduction,patch_sum_mul_ab_9,fp32,18,0,18,0.5240975240975241,0.5240975240975241,1.9073486328125e-06,1.9073486328125e-06,0.0038095376309755322,0.003816793893129771,1048194,1999998,0.0,1.0,0.5240975240975241
9.0,patch_reduction,patch_sum_mul_cd_9,fp32,18,0,18,0.527949527949528,0.527949527949528,1.9073486328125e-06,1.9073486328125e-06,0.08973214285714286,0.09375,1055898,1999998,0.0,1.0,0.527949527949528
9.0,patch_reduction,patch_var_a_9,fp32,18,0,18,0.5220725220725221,0.5220725220725221,4.76837158203125e-07,4.76837158203125e-07,3.3477321151457863e-07,3.347732675511302e-07,1044144,1999998,0.0,1.0,0.5220725220725221
9.0,patch_reduction,patch_var_b_9,fp32,18,0,18,0.5222795222795222,0.5222795222795222,7.152557373046875e-07,7.152557373046875e-07,3.162664267596139e-07,3.1626647677184023e-07,1044558,1999998,0.0,1.0,0.5222795222795222
9.0,patch_reduction,patch_var_c_9,fp32,18,0,18,0.5220725220725221,0.5220725220725221,9.5367431640625e-07,9.5367431640625e-07,3.519658377265134e-07,3.519658996664888e-07,1044144,1999998,0.0,1.0,0.5220725220725221
9.0,patch_reduction,patch_var_d_9,fp32,18,0,18,0.5201015201015201,0.5201015201015201,7.152557373046875e-07,7.152557373046875e-07,3.3536169401477015e-07,3.3536175024850306e-07,1040202,1999998,0.0,1.0,0.5201015201015201
9.0,patch_reduction,patch_var_mul_ab_9,fp32,18,0,18,0.5266535266535266,0.5266535266535266,3.814697265625e-06,3.814697265625e-06,3.13618097520496e-07,3.1361814669865154e-07,1053306,1999998,0.0,1.0,0.5266535266535266
9.0,patch_reduction,patch_var_mul_cd_9,fp32,18,0,18,0.5285435285435286,0.5285435285435286,1.9073486328125e-06,1.9073486328125e-06,3.14516418818563e-07,3.1451646827885186e-07,1057086,1999998,0.0,1.0,0.5285435285435286
9.0,patch_softmax,patch_softmax_a_9,fp32,22,0,22,0.4642137369410097,0.5731305731305731,1.7339533025568182e-07,2.384185791015625e-07,4.086445046984936e-07,4.377705353506821e-07,10212692,21999978,0.0,1.0,0.46421373694100965
9.0,patch_softmax,patch_softmax_b_9,fp32,22,0,22,0.4644870099415554,0.5736565736565736,1.4630230990323154e-07,1.7881393432617188e-07,4.1837998057084245e-07,4.549660396286795e-07,10218704,21999978,0.0,1.0,0.4644870099415554
9.0,patch_softmax,patch_softmax_c_9,fp32,22,0,22,0.46429437338528246,0.573923573923574,1.7881393432617188e-07,1.7881393432617188e-07,4.1318150984004674e-07,4.4237478581687455e-07,10214466,21999978,0.0,1.0,0.46429437338528246
9.0,patch_softmax,patch_softmax_d_9,fp32,22,0,22,0.46396128214310034,0.574065574065574,2.0590695467862216e-07,2.384185791015625e-07,3.954502568106224e-07,4.382074859861246e-07,10207138,21999978,0.0,1.0,0.46396128214310034
9.0,patch_softmax,patch_softmax_mul_ab_9,fp32,22,0,22,0.46354055444964537,0.5748795748795749,2.3299997503107245e-07,2.980232238769531e-07,4.484310637631752e-07,4.636842495734105e-07,10197882,21999978,0.0,1.0,0.46354055444964537
9.0,patch_softmax,patch_softmax_mul_cd_9,fp32,22,0,22,0.4638239183693729,0.5759285759285759,2.3299997503107245e-07,2.980232238769531e-07,4.215336432744923e-07,4.723300774833876e-07,10204116,21999978,0.0,1.0,0.4638239183693729
25.0,patch_cumulative,patch_cumsum_a_25,fp32,18,0,18,0.477946,0.477946,1.9073486328125e-06,1.9073486328125e-06,0.14879319866706603,0.15980230642504117,8603028,18000000,0.0,1.0,0.477946
25.0,patch_cumulative,patch_cumsum_b_25,fp32,18,0,18,0.47898999999999997,0.47899,2.1457672119140625e-06,2.1457672119140625e-06,0.25974589646464646,0.29292929292929293,8621820,18000000,0.0,1.0,0.47899
25.0,patch_cumulative,patch_cumsum_c_25,fp32,18,0,18,0.478768,0.478768,1.9073486328125e-06,1.9073486328125e-06,0.026979859790874524,0.02734375,8617824,18000000,0.0,1.0,0.478768
25.0,patch_cumulative,patch_cumsum_d_25,fp32,18,0,18,0.477932,0.477932,1.9073486328125e-06,1.9073486328125e-06,0.0746335564361479,0.07741477272727272,8602776,18000000,0.0,1.0,0.477932
25.0,patch_cumulative,patch_cumsum_mul_ab_25,fp32,18,0,18,0.472497,0.472497,3.814697265625e-06,3.814697265625e-06,0.021155353226750294,0.021379102679915687,8504946,18000000,0.0,1.0,0.472497
25.0,patch_cumulative,patch_cumsum_mul_cd_25,fp32,18,0,18,0.47268099999999996,0.472681,3.814697265625e-06,3.814697265625e-06,0.07669601831212515,0.07963284544777971,8508258,18000000,0.0,1.0,0.472681
